CSV format: Accelerometer x value, acclerometer y value, accelerometer z value, gyroscope x value, gyroscope y value, gyroscope z value
Sample frequency: 100Hz
1526313395.350.477783203125,0.16552734375,-0.957763671875,-1.708984375,3.31878662109,-1.3427734375
1526313395.360.4775390625,0.1669921875,-0.964599609375,-1.41143798828,3.37982177734,-0.801086425781
1526313395.360.477294921875,0.167724609375,-0.96533203125,-1.40380859375,3.20434570312,-0.648498535156
1526313395.370.480712890625,0.166015625,-0.964599609375,-1.31988525391,3.173828125,-0.434875488281
1526313395.370.479248046875,0.164794921875,-0.957763671875,-1.00708007812,3.47137451172,-0.18310546875
1526313395.370.4736328125,0.164794921875,-0.957763671875,-1.24359130859,3.41033935547,-0.442504882812
1526313395.380.481689453125,0.165283203125,-0.954345703125,-1.36566162109,3.19671630859,-0.160217285156
1526313395.380.478271484375,0.1650390625,-0.959228515625,-1.0986328125,3.41033935547,0.00762939453125
1526313395.390.480224609375,0.15966796875,-0.954833984375,-1.44958496094,3.02124023438,-0.54931640625
1526313395.390.475341796875,0.16455078125,-0.959716796875,-1.44958496094,3.22723388672,-0.79345703125
1526313395.390.47705078125,0.1640625,-0.95849609375,-1.50299072266,3.64685058594,-1.15966796875
1526313395.40.478271484375,0.163330078125,-0.9541015625,-1.50299072266,3.44848632812,-0.953674316406
1526313395.40.480712890625,0.166748046875,-0.9619140625,-1.76239013672,3.31115722656,-0.572204589844
1526313395.40.4775390625,0.1640625,-0.955078125,-1.44958496094,3.63159179688,-1.28936767578
1526313395.410.478271484375,0.163330078125,-0.9599609375,-1.59454345703,3.34167480469,-1.220703125
1526313395.410.47607421875,0.1640625,-0.9521484375,-1.5869140625,3.45611572266,-0.732421875
1526313395.420.4794921875,0.16455078125,-0.956787109375,-1.38854980469,3.28826904297,-0.564575195312
1526313395.420.473388671875,0.1640625,-0.9560546875,-1.56402587891,3.173828125,-0.740051269531
1526313395.420.47314453125,0.1630859375,-0.9541015625,-1.41906738281,3.31115722656,-0.457763671875
1526313395.430.48095703125,0.163818359375,-0.954833984375,-1.12152099609,3.5400390625,-0.740051269531
1526313395.430.472412109375,0.167724609375,-0.955810546875,-1.08337402344,3.23486328125,-0.343322753906
1526313395.440.47412109375,0.1611328125,-0.955078125,-1.00708007812,3.27301025391,-0.152587890625
1526313395.440.48046875,0.161865234375,-0.961669921875,-0.984191894531,3.16619873047,-0.0991821289062
1526313395.440.474365234375,0.16357421875,-0.962646484375,-1.02233886719,3.19671630859,-0.18310546875
1526313395.450.47998046875,0.1640625,-0.957763671875,-1.14440917969,3.21960449219,-0.144958496094
1526313395.450.477783203125,0.159912109375,-0.9541015625,-1.44958496094,3.21197509766,-0.724792480469
1526313395.450.47705078125,0.1591796875,-0.95849609375,-1.44195556641,3.13568115234,-0.877380371094
1526313395.460.473876953125,0.1611328125,-0.95361328125,-1.52587890625,3.48663330078,-0.6103515625
1526313395.460.473876953125,0.159423828125,-0.95458984375,-1.35040283203,3.41033935547,-0.755310058594
1526313395.460.478515625,0.162109375,-0.95361328125,-1.80816650391,3.2958984375,-1.15203857422
1526313395.460.47802734375,0.15966796875,-0.956787109375,-1.75476074219,3.27301025391,-1.04522705078
1526313395.470.4765625,0.158447265625,-0.958984375,-1.75476074219,3.31115722656,-1.14440917969
1526313395.470.475341796875,0.16259765625,-0.957763671875,-1.78527832031,3.41796875,-1.80053710938
1526313395.470.4697265625,0.16259765625,-0.95654296875,-1.60217285156,3.36456298828,-1.37329101562
1526313395.480.47607421875,0.164794921875,-0.961181640625,-2.08282470703,3.2958984375,-1.66320800781
1526313395.480.477783203125,0.165771484375,-0.957275390625,-2.05230712891,3.37219238281,-1.45721435547
1526313395.480.475830078125,0.164794921875,-0.962890625,-1.75476074219,3.37982177734,-1.35040283203
1526313395.490.47314453125,0.163818359375,-0.961669921875,-1.59454345703,3.32641601562,-0.808715820312
1526313395.490.47607421875,0.168212890625,-0.96533203125,-1.47247314453,3.46374511719,-0.968933105469
1526313395.490.47509765625,0.166015625,-0.962646484375,-1.63269042969,3.41033935547,-1.14440917969
1526313395.50.47412109375,0.165771484375,-0.958740234375,-1.53350830078,3.04412841797,-0.434875488281
1526313395.50.47412109375,0.164794921875,-0.960205078125,-1.28936767578,3.58581542969,-0.30517578125
1526313395.50.4775390625,0.163818359375,-0.9541015625,-1.68609619141,3.173828125,-0.442504882812
1526313395.510.479736328125,0.16748046875,-0.959716796875,-1.42669677734,3.54766845703,-0.679016113281
1526313395.510.474365234375,0.161376953125,-0.95751953125,-1.28173828125,3.21960449219,-0.541687011719
1526313395.520.4775390625,0.162841796875,-0.955078125,-1.19018554688,3.21197509766,-0.442504882812
1526313395.520.47412109375,0.16357421875,-0.95556640625,-1.35803222656,3.20434570312,-0.0381469726562
1526313395.520.474609375,0.163330078125,-0.95703125,-1.15966796875,3.19671630859,-0.259399414062
1526313395.530.47802734375,0.162841796875,-0.95458984375,-1.3427734375,3.37982177734,-0.595092773438
1526313395.530.47802734375,0.164306640625,-0.96240234375,-1.42669677734,3.56292724609,-0.0991821289062
1526313395.530.47802734375,0.1630859375,-0.956787109375,-1.10626220703,3.35693359375,-0.0381469726562
1526313395.540.48095703125,0.166748046875,-0.964111328125,-1.44958496094,2.82287597656,-0.404357910156
1526313395.540.481201171875,0.165771484375,-0.954833984375,-1.05285644531,3.39508056641,-0.30517578125
1526313395.540.477294921875,0.16015625,-0.962646484375,-1.27410888672,3.31115722656,-0.556945800781
1526313395.540.48291015625,0.16357421875,-0.96142578125,-1.15966796875,3.15856933594,0.0534057617188
1526313395.550.48046875,0.165771484375,-0.96044921875,-1.01470947266,3.39508056641,-0.350952148438
1526313395.550.4755859375,0.164306640625,-0.955810546875,-1.35040283203,3.48663330078,-0.785827636719
1526313395.560.4775390625,0.162353515625,-0.952880859375,-1.53350830078,3.63159179688,-0.587463378906
1526313395.560.4736328125,0.16064453125,-0.95263671875,-1.75476074219,3.66973876953,-1.38092041016
1526313395.560.474609375,0.1611328125,-0.95947265625,-1.75476074219,3.60107421875,-1.61743164062
1526313395.570.4775390625,0.16162109375,-0.95703125,-1.73950195312,3.69262695312,-1.36566162109
1526313395.570.473388671875,0.1669921875,-0.95751953125,-1.91497802734,3.63922119141,-1.60980224609
1526313395.570.47509765625,0.16259765625,-0.961181640625,-1.8310546875,3.50189208984,-1.29699707031
1526313395.580.47607421875,0.160888671875,-0.96142578125,-1.67083740234,3.31878662109,-1.44958496094
1526313395.580.47412109375,0.16357421875,-0.961669921875,-1.23596191406,3.36456298828,-1.06048583984
1526313395.580.47119140625,0.164794921875,-0.96435546875,-1.31988525391,3.31115722656,-0.663757324219
1526313395.590.47607421875,0.16259765625,-0.95849609375,-1.22833251953,2.98309326172,-0.564575195312
1526313395.590.470458984375,0.1640625,-0.96728515625,-1.50299072266,3.41033935547,-0.129699707031
1526313395.590.47705078125,0.170166015625,-0.9580078125,-1.24359130859,3.55529785156,-0.152587890625
1526313395.60.47607421875,0.163330078125,-0.9619140625,-1.03759765625,3.173828125,-0.152587890625
1526313395.60.4775390625,0.16357421875,-0.960693359375,-1.12915039062,3.44848632812,0.190734863281
1526313395.60.47607421875,0.1640625,-0.958984375,-1.35040283203,3.38745117188,-0.450134277344
1526313395.610.471923828125,0.1630859375,-0.956298828125,-1.42669677734,3.21197509766,-0.404357910156
1526313395.610.4755859375,0.1640625,-0.95751953125,-1.77764892578,3.36456298828,-0.961303710938
1526313395.620.481689453125,0.16455078125,-0.953369140625,-1.57165527344,3.49426269531,-0.991821289062
1526313395.620.476318359375,0.1640625,-0.9521484375,-1.35040283203,3.662109375,-1.21307373047
1526313395.620.474609375,0.164306640625,-0.954833984375,-1.54876708984,3.49426269531,-1.25122070312
1526313395.630.478515625,0.164794921875,-0.956787109375,-1.80053710938,3.34930419922,-1.12152099609
1526313395.630.474853515625,0.165283203125,-0.9580078125,-1.54113769531,3.25012207031,-0.724792480469
1526313395.630.47802734375,0.16552734375,-0.961669921875,-1.45721435547,3.42559814453,-0.961303710938
1526313395.640.477294921875,0.163330078125,-0.959716796875,-1.17492675781,3.49426269531,-0.648498535156
1526313395.640.474853515625,0.163818359375,-0.962890625,-1.16729736328,3.25012207031,-0.106811523438
1526313395.650.474853515625,0.162353515625,-0.962646484375,-1.06048583984,3.13568115234,0.389099121094
1526313395.650.4775390625,0.1630859375,-0.951171875,-1.02233886719,3.24249267578,0.18310546875
1526313395.650.478515625,0.16064453125,-0.9521484375,-1.40380859375,2.89154052734,0.335693359375
1526313395.660.477783203125,0.1630859375,-0.958984375,-0.892639160156,3.48663330078,-0.152587890625
1526313395.660.47607421875,0.163330078125,-0.95703125,-1.17492675781,3.14331054688,-0.732421875
1526313395.660.474609375,0.163818359375,-0.95947265625,-1.41143798828,3.08227539062,-0.0991821289062
1526313395.670.476806640625,0.15869140625,-0.958984375,-1.38854980469,3.25012207031,-0.450134277344
1526313395.670.476318359375,0.159912109375,-0.9501953125,-1.31225585938,3.31115722656,-0.343322753906
1526313395.680.4775390625,0.161865234375,-0.959716796875,-1.43432617188,3.10516357422,-0.595092773438
1526313395.680.476806640625,0.159423828125,-0.958251953125,-1.31988525391,3.15093994141,-0.8544921875
1526313395.680.47607421875,0.162353515625,-0.9638671875,-1.69372558594,3.26538085938,-0.91552734375
1526313395.680.476806640625,0.1611328125,-0.962646484375,-1.16729736328,3.73840332031,-0.846862792969
1526313395.690.47802734375,0.16064453125,-0.95654296875,-1.73950195312,3.47137451172,-0.831604003906
1526313395.690.476806640625,0.15966796875,-0.958740234375,-1.5869140625,3.62396240234,-0.831604003906
1526313395.690.4755859375,0.162841796875,-0.95361328125,-1.55639648438,3.62396240234,-1.60980224609
1526313395.70.475341796875,0.16552734375,-0.9638671875,-1.71661376953,3.44085693359,-1.22833251953
1526313395.70.478759765625,0.1630859375,-0.96044921875,-1.75476074219,3.65447998047,-1.45721435547
1526313395.70.4794921875,0.160888671875,-0.956298828125,-1.75476074219,3.31115722656,-1.30462646484
1526313395.710.48193359375,0.166259765625,-0.959228515625,-1.73187255859,3.63159179688,-0.862121582031
1526313395.710.47314453125,0.164794921875,-0.9599609375,-1.79290771484,3.56292724609,-1.60217285156
1526313395.720.475341796875,0.15869140625,-0.9638671875,-1.50299072266,3.35693359375,-1.16729736328
1526313395.720.4794921875,0.165283203125,-0.9580078125,-1.708984375,3.39508056641,-0.999450683594
1526313395.720.4765625,0.1630859375,-0.961181640625,-1.35803222656,3.26538085938,-0.694274902344
1526313395.730.478271484375,0.16357421875,-0.955078125,-1.220703125,3.47137451172,-0.762939453125
1526313395.730.476318359375,0.16943359375,-0.955810546875,-1.36566162109,3.26538085938,-0.617980957031
1526313395.730.476806640625,0.1650390625,-0.960693359375,-1.47247314453,3.22723388672,-0.328063964844
1526313395.730.4765625,0.16748046875,-0.957275390625,-1.37329101562,3.44085693359,-0.54931640625
1526313395.740.47705078125,0.166015625,-0.9599609375,-1.35803222656,3.39508056641,-0.198364257812
1526313395.740.478271484375,0.1640625,-0.956787109375,-1.49536132812,3.04412841797,-0.587463378906
1526313395.740.480224609375,0.161376953125,-0.954345703125,-1.23596191406,3.38745117188,-0.404357910156
1526313395.740.474853515625,0.16845703125,-0.959228515625,-1.56402587891,3.33404541016,-0.442504882812
1526313395.750.474853515625,0.165771484375,-0.957275390625,-1.3427734375,3.73840332031,-0.816345214844
1526313395.750.476806640625,0.166015625,-0.957763671875,-1.51062011719,3.45611572266,-0.968933105469
1526313395.760.47705078125,0.167724609375,-0.962646484375,-1.41143798828,3.25012207031,-1.19781494141
1526313395.760.47705078125,0.168212890625,-0.958251953125,-1.60980224609,3.44085693359,-1.03759765625
1526313395.760.4794921875,0.165771484375,-0.958251953125,-1.5869140625,3.43322753906,-0.79345703125
1526313395.770.4755859375,0.164794921875,-0.96240234375,-1.45721435547,3.09753417969,-0.518798828125
1526313395.770.4765625,0.165283203125,-0.961181640625,-1.37329101562,3.42559814453,-0.938415527344
1526313395.770.477783203125,0.166015625,-0.955322265625,-1.31988525391,3.31115722656,-0.556945800781
1526313395.780.4794921875,0.1669921875,-0.95654296875,-1.3427734375,3.5400390625,-0.465393066406
1526313395.780.479736328125,0.164794921875,-0.96240234375,-1.31988525391,3.34930419922,-0.938415527344
1526313395.780.47900390625,0.17041015625,-0.960693359375,-1.26647949219,3.36456298828,-0.442504882812
1526313395.790.475341796875,0.1669921875,-0.959716796875,-1.42669677734,3.47137451172,-0.503540039062
1526313395.790.475830078125,0.163330078125,-0.9521484375,-1.32751464844,3.21960449219,-0.534057617188
1526313395.790.4765625,0.16357421875,-0.954833984375,-1.18255615234,3.08227539062,-0.625610351562
1526313395.790.47705078125,0.1611328125,-0.962158203125,-1.37329101562,3.13568115234,-0.968933105469
1526313395.80.475830078125,0.162841796875,-0.958740234375,-1.55639648438,3.28826904297,-0.633239746094
1526313395.80.47705078125,0.162109375,-0.95166015625,-1.42669677734,3.35693359375,-0.991821289062
1526313395.810.47412109375,0.163330078125,-0.9599609375,-1.74713134766,3.53240966797,-1.0986328125
1526313395.810.47314453125,0.162109375,-0.95751953125,-1.42669677734,3.35693359375,-1.04522705078
1526313395.810.47412109375,0.164306640625,-0.968017578125,-1.45721435547,3.25775146484,-0.617980957031
1526313395.820.47265625,0.162109375,-0.958740234375,-1.33514404297,3.34167480469,-0.801086425781
1526313395.820.4765625,0.1630859375,-0.964599609375,-1.51062011719,3.60870361328,-0.450134277344
1526313395.820.474853515625,0.162353515625,-0.96484375,-1.39617919922,3.173828125,-0.381469726562
1526313395.830.471923828125,0.162841796875,-0.958984375,-1.3427734375,3.36456298828,-0.511169433594
1526313395.830.476318359375,0.162841796875,-0.95751953125,-1.36566162109,3.34930419922,-0.396728515625
1526313395.840.478271484375,0.16357421875,-0.96484375,-1.70135498047,3.12042236328,-0.762939453125
1526313395.840.476318359375,0.16845703125,-0.956298828125,-1.37329101562,3.32641601562,-0.732421875
1526313395.840.475341796875,0.166259765625,-0.961181640625,-1.68609619141,3.56292724609,-0.755310058594
1526313395.850.47607421875,0.167236328125,-0.95458984375,-1.66320800781,3.72314453125,-1.14440917969
1526313395.850.478515625,0.164794921875,-0.95556640625,-1.28173828125,3.38745117188,-0.762939453125
1526313395.850.474609375,0.166748046875,-0.957275390625,-1.31225585938,3.37219238281,-0.587463378906
1526313395.860.477783203125,0.16455078125,-0.956298828125,-1.25885009766,3.49426269531,-1.13677978516
1526313395.860.4794921875,0.16748046875,-0.95556640625,-1.55639648438,3.48663330078,-0.801086425781
1526313395.870.47705078125,0.160888671875,-0.956298828125,-1.89971923828,3.26538085938,-0.816345214844
1526313395.870.476806640625,0.165771484375,-0.95556640625,-1.14440917969,3.27301025391,-0.579833984375
